Time stamps,Elapsed time,torque_time_list,speed_time_list,power_time_list,efficiency_time_list,vibration_time_list,CNfault_time_list,basic_freq_list,Icn_y
1739000100,0.000000,21.128142,0,9181.531721,85.064722,0,0.011034,41.981390,-0.010698
1739000406,5.100000,15.394281,0,8856.113508,64.256869,0,0.026717,24.960557,-0.026289
1739001319,20.316667,20.424246,0,9131.322580,82.682895,0,0.010249,42.041191,-0.010226
1739001928,30.466667,20.483400,0,9076.462852,83.423562,0,0.012810,41.775153,-0.011695
1739002537,40.616667,20.632268,0,9070.987115,84.080589,0,0.012717,41.716115,-0.012448
1739003147,50.783333,20.217929,0,9133.422237,81.828853,0,0.010438,41.808915,-0.010154
1739003452,55.866667,20.199099,0,9125.084647,81.827338,0,0.013183,41.733150,-0.013170
1739004062,66.033333,20.892487,0,9231.338650,83.662103,0,0.013031,41.984812,-0.011070
1739004976,81.266667,21.173381,0,9083.678418,86.165178,0,0.011206,41.757545,-0.010763
1739005281,86.350000,20.327043,0,9085.396731,82.705355,0,0.009927,41.752856,-0.008740
1739007111,116.850000,20.135883,0,9020.938242,82.512984,0,0.012165,41.669400,-0.011130
1739010159,167.650000,20.467321,0,9114.682143,83.008544,0,0.020758,41.660956,-0.018041
1739010464,172.733333,20.523894,0,9038.736892,83.937368,0,0.013621,41.515740,-0.013153
1739011378,187.966667,20.652861,0,9127.339116,83.644879,0,0.011080,41.753852,-0.009542
1739013208,218.466667,20.440135,0,9128.541655,82.772424,0,0.018280,41.678265,-0.014751
1739013513,223.550000,20.341848,0,9028.982722,83.282723,0,0.012142,41.601567,-0.010325
1739018086,299.766667,20.526930,0,9091.462896,83.462918,0,0.012931,41.845782,-0.012766
1739024488,406.466667,15.765774,0,8809.118166,66.158583,0,0.016844,25.188916,-0.015818
1739035465,589.416667,20.207018,0,9120.607118,81.899603,0,0.012992,41.783145,-0.012930
1739036076,599.600000,19.961909,0,9061.389812,81.434902,0,0.011394,41.608934,-0.011220
1739036381,604.683333,20.620071,0,9102.025753,83.744332,0,0.010563,41.829570,-0.010348
1739037599,624.983333,20.938129,0,9144.289758,84.643031,0,0.012844,41.791255,-0.012366
1739038208,635.133333,20.170730,0,9071.549829,82.194633,0,0.014257,41.793951,-0.012057
1739038819,645.316667,21.001259,0,9181.323291,84.555793,0,0.007324,41.917018,-0.005611
1739040343,670.716667,20.701634,0,9087.386033,84.211027,0,0.011359,41.775269,-0.011204
1739040647,675.783333,19.981703,0,9036.705017,81.738324,0,0.019719,41.674352,-0.017767
1739041563,691.050000,20.638723,0,9122.507096,83.631895,0,0.013201,41.822625,-0.012782
1739043086,716.433333,20.454325,0,9194.407942,82.236518,0,0.015552,42.014654,-0.014741
1739045526,757.100000,20.769819,0,9064.524501,84.701482,0,0.013233,41.472042,-0.012764
1739046440,772.333333,20.150669,0,9086.002789,81.982266,0,0.020474,41.544717,-0.020152
1739046747,777.450000,20.209364,0,9055.872077,82.494630,0,0.004703,41.685741,-0.004673
1739047356,787.600000,20.137806,0,9067.054020,82.101156,0,0.014905,41.524784,-0.014525
1739047661,792.683333,20.609519,0,9043.270401,84.245298,0,0.018522,41.583240,-0.017736
1739047965,797.750000,19.884539,0,9097.488734,80.797389,0,0.013440,41.519240,-0.013114
1739048270,802.833333,20.414590,0,9059.179259,83.301945,0,0.019044,41.404360,-0.018992
1739048575,807.916667,20.590027,0,9042.739346,84.170564,0,0.018221,41.523616,-0.017881
1739051014,848.566667,20.613465,0,9048.489750,84.212824,0,0.012604,41.421722,-0.012530
1739051319,853.650000,20.277194,0,9104.737993,82.327272,0,0.013910,41.770615,-0.012512
1739051928,863.800000,20.242809,0,9031.399306,82.855066,0,0.011273,41.556431,-0.011273
1739054368,904.466667,20.524637,0,9083.842073,83.523607,0,0.010263,41.585921,-0.010166
1739054980,914.666667,20.444219,0,9082.041741,83.212843,0,0.016765,41.764701,-0.014551
1739055590,924.833333,20.574931,0,9108.572364,83.500947,0,0.012211,41.613926,-0.012136
1739055895,929.916667,20.191722,0,9077.328901,82.227787,0,0.012105,41.669593,-0.012076
1739056199,934.983333,20.189595,0,9084.917965,82.150447,0,0.011983,41.776900,-0.011980
1739056504,940.066667,20.447514,0,9118.356379,82.894796,0,0.014230,41.588307,-0.014224
1739056809,945.150000,19.957713,0,9028.883779,81.710909,0,0.017567,41.583788,-0.016625
1739058334,970.566667,20.036744,0,9118.942623,81.224303,0,0.017910,41.644560,-0.017601
1739058638,975.633333,20.733505,0,9121.550514,84.024781,0,0.012180,41.655596,-0.012032
1739059247,985.783333,20.586603,0,9087.534134,83.741735,0,0.007506,41.571485,-0.007362
1739059552,990.866667,20.305119,0,9071.403375,82.743595,0,0.012856,41.520419,-0.011482
1739059857,995.950000,20.061769,0,9074.950102,81.719991,0,0.016903,41.531136,-0.016153
1739061077,1016.283333,20.915594,0,9207.423164,83.972179,0,0.013162,41.963518,-0.013139
1739061686,1026.433333,20.765237,0,9124.215295,84.128798,0,0.011764,41.795537,-0.009294
1739062296,1036.600000,20.292905,0,9117.504461,82.275697,0,0.011285,41.781775,-0.010652
1739063516,1056.933333,20.497881,0,9069.724569,83.544563,0,0.017145,41.692142,-0.016362
